timestamp,ambient_percent,uv_percent,temp_c,flow_l_min
2025-12-04T18:04:22,12.61,0.29,20.0,1.88
2025-12-04T18:04:22,12.61,0.2,20.22,1.99
2025-12-04T18:04:23,12.51,0.29,20.0,1.84
2025-12-04T18:04:23,12.61,0.2,19.9,1.95
2025-12-04T18:04:23,12.61,0.2,19.79,2.04
2025-12-04T18:04:24,12.61,0.29,19.9,1.88
2025-12-04T18:04:24,12.71,0.29,20.0,1.96
2025-12-04T18:04:24,12.51,0.29,20.0,2.02
2025-12-04T18:04:25,12.61,0.29,20.0,1.88
2025-12-04T18:04:25,12.51,0.29,20.0,1.89
2025-12-04T18:04:25,12.81,0.29,20.0,1.98
2025-12-04T18:04:26,12.61,0.49,20.0,1.91
2025-12-04T18:04:26,12.71,0.29,19.79,1.96
2025-12-04T18:04:26,12.51,0.29,19.9,1.97
2025-12-04T18:04:27,12.71,0.29,19.9,1.91
2025-12-04T18:04:27,12.71,0.29,20.0,1.87
2025-12-04T18:04:28,12.61,0.29,19.79,1.96
2025-12-04T18:04:28,12.51,0.39,20.32,1.91
2025-12-04T18:04:28,12.71,0.29,19.9,1.88
2025-12-04T18:04:29,12.71,0.29,19.9,1.97
2025-12-04T18:04:29,12.81,0.39,19.9,1.9
2025-12-04T18:04:29,12.71,0.29,19.9,1.9
2025-12-04T18:04:30,12.71,0.2,19.79,1.93
2025-12-04T18:04:30,12.81,0.29,19.9,1.87
2025-12-04T18:04:31,12.61,0.29,20.0,0.0
2025-12-04T18:04:34,12.81,0.29,19.9,0.0
2025-12-04T18:04:34,12.41,0.29,19.79,1.78
2025-12-04T18:04:34,12.61,0.29,19.79,1.83
2025-12-04T18:04:35,12.71,0.29,19.79,1.84
2025-12-04T18:04:35,12.32,0.29,19.68,1.73
2025-12-04T18:04:36,11.24,0.29,19.9,1.74
2025-12-04T18:04:36,10.95,0.29,19.79,1.92
2025-12-04T18:04:36,11.24,0.29,19.79,1.85
2025-12-04T18:04:37,11.24,0.29,19.68,1.9
2025-12-04T18:04:37,11.24,0.29,19.79,2.03
2025-12-04T18:04:37,11.34,0.29,19.79,1.9
2025-12-04T18:04:38,11.44,0.2,19.79,1.93
2025-12-04T18:04:38,11.73,0.29,19.9,2.0
2025-12-04T18:04:38,12.32,0.29,19.9,1.85
2025-12-04T18:04:39,12.41,0.39,19.68,1.93
2025-12-04T18:04:39,12.51,0.29,19.68,1.97
2025-12-04T18:04:39,12.12,0.29,19.79,1.9
2025-12-04T18:04:40,12.12,0.29,19.79,1.94
2025-12-04T18:04:40,11.24,0.29,19.79,2.07
2025-12-04T18:04:40,11.05,0.0,19.79,1.9
2025-12-04T18:04:41,10.75,0.1,19.79,1.9
2025-12-04T18:04:41,10.75,0.39,19.79,1.98
2025-12-04T18:04:42,10.56,0.39,19.79,1.9
2025-12-04T18:04:42,10.56,0.2,19.79,1.9
2025-12-04T18:04:42,10.95,0.29,19.9,1.92
2025-12-04T18:04:43,11.34,0.2,19.79,2.01
2025-12-04T18:04:43,11.34,0.29,19.79,1.94
2025-12-04T18:04:43,11.14,0.29,19.9,1.94
2025-12-04T18:04:44,10.75,0.29,19.79,2.05
2025-12-04T18:04:44,10.65,0.29,19.9,1.95
2025-12-04T18:04:44,10.56,0.39,19.9,1.89
2025-12-04T18:04:45,10.56,0.29,19.9,2.01
2025-12-04T18:04:45,10.95,0.39,19.47,1.95
2025-12-04T18:04:45,10.75,0.29,19.79,1.9
2025-12-04T18:04:46,10.95,0.29,19.79,1.97
2025-12-04T18:04:46,11.05,0.39,20.22,1.92
2025-12-04T18:04:46,10.85,0.29,19.79,1.94
2025-12-04T18:04:47,11.14,0.29,19.79,1.97
2025-12-04T18:04:47,11.05,0.39,19.68,2.0
2025-12-04T18:04:48,11.14,0.29,19.79,1.94
2025-12-04T18:04:48,11.14,0.29,19.79,1.88
2025-12-04T18:04:48,11.05,0.29,19.79,1.88
2025-12-04T18:04:49,11.05,0.29,19.79,1.99
2025-12-04T18:04:49,10.85,0.39,19.79,1.95
2025-12-04T18:04:49,11.14,0.39,20.0,1.92
2025-12-04T18:04:50,11.93,0.39,19.79,2.05
2025-12-04T18:04:50,12.32,0.29,19.79,1.9
2025-12-04T18:04:50,12.32,0.29,19.79,1.93
2025-12-04T18:04:51,12.32,0.29,19.79,2.0
2025-12-04T18:04:51,12.41,0.2,19.79,1.86
2025-12-04T18:04:51,11.63,0.29,19.79,1.97
2025-12-04T18:04:52,11.24,0.29,19.79,1.99
2025-12-04T18:04:52,11.05,0.39,19.79,1.93
2025-12-04T18:04:52,11.24,0.29,19.79,1.88
2025-12-04T18:04:54,11.24,0.29,19.79,0.0
2025-12-04T18:04:56,10.85,0.29,19.9,0.0
2025-12-04T18:04:56,10.95,0.49,19.79,1.81
2025-12-04T18:04:56,12.51,0.29,19.79,1.85
2025-12-04T18:04:57,12.51,0.1,19.9,1.87
2025-12-04T18:04:57,12.41,0.29,19.68,1.77
2025-12-04T18:04:57,12.32,0.29,19.9,1.81
2025-12-04T18:04:58,12.61,0.39,20.11,1.91
2025-12-04T18:04:58,12.51,0.29,19.9,1.78
2025-12-04T18:04:59,12.71,0.29,19.68,1.84
2025-12-04T18:04:59,12.32,0.29,19.79,2.03
2025-12-04T18:04:59,12.41,0.29,19.9,1.9
2025-12-04T18:05:00,12.41,0.29,19.9,1.91
2025-12-04T18:05:00,12.51,0.29,19.9,2.06
2025-12-04T18:05:00,12.22,0.2,19.9,2.01
2025-12-04T18:05:01,12.51,0.39,20.0,1.9
2025-12-04T18:05:01,12.32,0.29,19.9,1.92
2025-12-04T18:05:01,12.51,0.29,19.9,2.01
2025-12-04T18:05:02,12.51,0.2,20.0,1.94
2025-12-04T18:05:02,12.51,0.29,19.68,1.88
2025-12-04T18:05:02,12.41,0.29,19.36,2.06
2025-12-04T18:05:03,12.51,0.29,20.11,1.87
2025-12-04T18:05:03,12.61,0.29,19.9,1.9
2025-12-04T18:05:03,12.51,0.29,19.9,1.99
2025-12-04T18:05:04,12.41,0.2,19.79,1.92
2025-12-04T18:05:04,12.41,0.29,19.9,1.92
2025-12-04T18:05:05,12.41,0.29,20.0,1.99
2025-12-04T18:05:05,12.51,0.29,20.11,1.91
2025-12-04T18:05:05,12.41,0.29,20.0,1.92
2025-12-04T18:05:06,12.32,0.29,20.0,2.01
2025-12-04T18:05:06,12.41,0.29,20.0,1.98
2025-12-04T18:05:06,12.51,0.29,20.11,1.96
2025-12-04T18:05:07,12.32,0.29,19.9,1.93
2025-12-04T18:05:07,12.51,0.29,19.9,1.89
2025-12-04T18:05:07,12.41,0.29,20.0,1.99
2025-12-04T18:05:08,12.32,0.29,19.9,1.89
2025-12-04T18:05:08,12.61,0.2,19.9,1.85
2025-12-04T18:05:08,12.41,0.29,19.9,2.04
2025-12-04T18:05:09,12.32,0.29,19.79,1.92
2025-12-04T18:05:09,12.32,0.2,19.25,1.9
2025-12-04T18:05:10,12.22,0.39,19.9,1.99
2025-12-04T18:05:10,12.22,0.39,19.9,1.93
2025-12-04T18:05:10,12.32,0.29,19.9,1.88
2025-12-04T18:05:11,12.22,0.29,19.79,1.48
2025-12-04T18:05:13,12.41,0.29,19.9,0.0
2025-12-04T18:05:14,12.51,0.29,19.9,1.14
2025-12-04T18:05:14,12.41,0.2,19.9,1.98
2025-12-04T18:05:14,12.41,0.29,19.9,1.76
2025-12-04T18:05:15,12.41,0.29,19.79,1.77
2025-12-04T18:05:15,12.51,0.29,19.79,1.92
2025-12-04T18:05:16,12.41,0.39,19.68,1.82
2025-12-04T18:05:16,12.41,0.29,19.9,1.8
2025-12-04T18:05:16,12.32,0.1,19.9,1.87
2025-12-04T18:05:17,12.32,0.29,19.68,1.74
2025-12-04T18:05:17,12.51,0.29,19.9,1.79
2025-12-04T18:05:17,12.32,0.39,19.9,1.84
2025-12-04T18:05:18,12.41,0.1,19.9,1.83
2025-12-04T18:05:18,12.22,0.29,20.0,1.84
2025-12-04T18:05:18,12.32,0.29,19.9,1.91
2025-12-04T18:05:19,12.32,0.2,19.79,1.92
2025-12-04T18:05:19,12.41,0.29,20.0,1.97
2025-12-04T18:05:20,12.32,0.1,19.79,1.88
2025-12-04T18:05:20,12.41,0.29,19.79,1.98
2025-12-04T18:05:20,12.22,0.29,19.79,1.89
2025-12-04T18:05:21,12.51,0.2,19.79,1.96
2025-12-04T18:05:21,12.41,0.29,19.79,1.9
2025-12-04T18:05:21,12.41,0.29,19.79,2.0
2025-12-04T18:05:22,12.32,0.29,19.79,1.92
2025-12-04T18:05:22,12.32,0.29,19.79,1.9
2025-12-04T18:05:22,12.41,0.29,19.79,1.97
2025-12-04T18:05:23,12.02,0.29,19.68,1.9
2025-12-04T18:05:23,12.41,0.29,19.9,1.95
2025-12-04T18:05:24,12.32,0.29,19.79,1.93
2025-12-04T18:05:24,12.41,0.29,19.68,1.91
2025-12-04T18:05:24,12.41,0.39,19.9,1.92
2025-12-04T18:05:25,12.22,0.2,19.47,1.88
2025-12-04T18:05:25,12.41,0.29,19.79,2.0
2025-12-04T18:05:25,12.12,0.2,19.68,1.88
2025-12-04T18:05:26,12.41,0.2,19.68,1.9
2025-12-04T18:05:26,12.12,0.2,19.79,1.98
2025-12-04T18:05:26,12.22,0.2,19.79,1.95
2025-12-04T18:05:27,12.32,0.29,19.79,1.89
2025-12-04T18:05:27,12.41,0.29,19.9,1.95
2025-12-04T18:05:27,12.22,0.29,19.79,1.84
2025-12-04T18:05:28,12.12,0.29,19.47,1.89
